      timestamp ;              Chain ; ID ;   deadline ;   duration
249401460664898 ; DatabaseEncryption ;  1 ; 10000000000 ;  105237741
249401571630342 ; DatabaseEncryption ;  1 ; 10000000000 ;  271437970
249401847561137 ; DatabaseEncryption ;  1 ; 10000000000 ;  479650001
249402331845714 ; DatabaseEncryption ;  1 ; 10000000000 ;  471216502
249402807593759 ; DatabaseEncryption ;  1 ; 10000000000 ;  475261201
249403287290124 ; DatabaseEncryption ;  1 ; 10000000000 ;  476506003
249403768266190 ; DatabaseEncryption ;  1 ; 10000000000 ;  474752071
249404247479646 ; DatabaseEncryption ;  1 ; 10000000000 ;  479485585
249404731616455 ; DatabaseEncryption ;  1 ; 10000000000 ;  472132991
249405208193407 ; DatabaseEncryption ;  1 ; 10000000000 ;  474810378
249405687471684 ; DatabaseEncryption ;  1 ; 10000000000 ;  475485583
249406167378558 ; DatabaseEncryption ;  1 ; 10000000000 ;  479269381
249406651085671 ; DatabaseEncryption ;  1 ; 10000000000 ;  472050903
249407127793445 ; DatabaseEncryption ;  1 ; 10000000000 ;  475661253
249407607930475 ; DatabaseEncryption ;  1 ; 10000000000 ;  475035684
249408087434201 ; DatabaseEncryption ;  1 ; 10000000000 ;  475940964
249408567847315 ; DatabaseEncryption ;  1 ; 10000000000 ;  478828510
249409051275931 ; DatabaseEncryption ;  1 ; 10000000000 ;  472249057
249409528037807 ; DatabaseEncryption ;  1 ; 10000000000 ;  477524195
249410010064314 ; DatabaseEncryption ;  1 ; 10000000000 ;  473850585
249410488560931 ; DatabaseEncryption ;  1 ; 10000000000 ;  474428770
249410967495680 ; DatabaseEncryption ;  1 ; 10000000000 ;  479584422
249411451732839 ; DatabaseEncryption ;  1 ; 10000000000 ;  471667513
249411927950194 ; DatabaseEncryption ;  1 ; 10000000000 ;  477520908
249412410091921 ; DatabaseEncryption ;  1 ; 10000000000 ;  472858641
249412887385486 ; DatabaseEncryption ;  1 ; 10000000000 ;  477934658
249413369920380 ; DatabaseEncryption ;  1 ; 10000000000 ;  473157105
249413847539397 ; DatabaseEncryption ;  1 ; 10000000000 ;  476880820
249414328912888 ; DatabaseEncryption ;  1 ; 10000000000 ;  476251631
249414809755886 ; DatabaseEncryption ;  1 ; 10000000000 ;  473391484
249415287646064 ; DatabaseEncryption ;  1 ; 10000000000 ;  475520377
249415767671437 ; DatabaseEncryption ;  1 ; 10000000000 ;  478141349
249416250446966 ; DatabaseEncryption ;  1 ; 10000000000 ;  472729102
249416727664146 ; DatabaseEncryption ;  1 ; 10000000000 ;  478045850
249417210347827 ; DatabaseEncryption ;  1 ; 10000000000 ;  472542407
249417687330675 ; DatabaseEncryption ;  1 ; 10000000000 ;  477759070
249418169703463 ; DatabaseEncryption ;  1 ; 10000000000 ;  473258008
249418647451691 ; DatabaseEncryption ;  1 ; 10000000000 ;  476695428
249419128830834 ; DatabaseEncryption ;  1 ; 10000000000 ;  473968659
249419607254852 ; DatabaseEncryption ;  1 ; 10000000000 ;  479046753
249420090733000 ; DatabaseEncryption ;  1 ; 10000000000 ;  472873016
249420568051066 ; DatabaseEncryption ;  1 ; 10000000000 ;  476333778
249421048862651 ; DatabaseEncryption ;  1 ; 10000000000 ;  475806523
