      timestamp ;              name ; ID ; HRT ;   deadline ; aff. ;   duration
 14947140026143 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  657144970
 14947801184088 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  656545429
 14948461736919 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  667662682
 14949133406684 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  248247744
 14949385663289 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  666318286
 14950055990333 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  650626771
 14950710626108 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  666239209
 14951380873917 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  505995967
 14951890878409 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  648963008
 14952543849617 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  662552274
 14953210412323 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 1496902076
 14954711321957 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 1360383908
 14956075712443 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 1465226209
 14957544944082 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 1572317978
 14959121267982 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 1393178480
 14960518452856 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 1330238335
 14961852697092 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  664537828
 14962521242874 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  652460797
 14963177714929 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  268760206
 14963450484050 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  649238001
 14964103731090 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  666795002
 14964774535072 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  650470923
 14965429014640 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  666292105
 14966099315503 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  661541097
 14966764865445 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  652210906
 14967421083696 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  660678012
 14968085770767 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  652437357
 14968742217248 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 5668548996
 14974414773255 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ; 1652512592
 14976071294710 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  663398717
 14976738701605 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  658560323
 14977401270326 ;  RT_CT_bitcount_S ;  1 ;   1 ;  189600000 ;    1 ;  668857287
